,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
UgwdrnL5uoSndSxH9Ih4AaABAg,DJ LEGION,1 month ago,1510962155832,"FAKE NEWS!! Everyone knows it's only conservatives (white, older, male conservatives specifically) who sexually assault people.",1,true,1,,,,,,,/Positive/,Positive,0.857
,,,,,,,,UgwdrnL5uoSndSxH9Ih4AaABAg.8_1mr3hwEv-8_29kbQVD-S,TheSpiritOfTheTimes,1 month ago,1510962157326,DJ LEGION Aren't you describing Travolta?,0,/Positive/,Positive,0.695
UgzAyWsqGjGEik6KzDR4AaABAg,Eric Mott,1 month ago,1510962155835,We’ve known about this for years. Why is this being reported?,5,false,0,,,,,,,/Negative/,Negative,0.998
Ugxf-n883Xhnadt19MJ4AaABAg,Caoimhín Ó Murċaḋa,1 month ago,1510962155838,He wanted a rim job,1,false,0,,,,,,,/Positive/,Positive,0.998
UgyOfdQaRSdF_PfFmn54AaABAg,Caoimhín Ó Murċaḋa,1 month ago,1510962155840,Everyone knows Trovolta likes licking men's assholes.,0,false,0,,,,,,,/Positive/,Positive,0.998
UgxuFDlcaVjpBu5VdiZ4AaABAg,Twilight Gardens presentations,1 month ago,1510962155843,"i thought we knew he was closeted and pushy...the dude was grown and travolta jacked him off then it got ""weird"" but not bad or anything.  these things happen in your twenties- its how you learn your come ons.  you just gotta say no clearly.",0,false,0,,,,,,,/Positive/,Positive,0.52
UgxUc1e35OQlpRPNco94AaABAg,Max Mustermann,1 month ago,1510962155846,What's the point here?,1,false,0,,,,,,,/Negative/,Negative,0.998
UgyYvRQZU0HPaIyATg54AaABAg,Gurujot Singh Khalsa,1 month ago,1510962155848,"""I have no idea if Travolta did anything wrong""... well then maybe you shouldn't be reporting on it.",3,false,0,,,,,,,/Negative/,Negative,0.988
Ugx_zIukg0bNh9K9zV14AaABAg,Secular Progressive,1 month ago,1510962155851,Drain the Hollywood sexual harassment swamp!!,0,false,0,,,,,,,/Positive/,Positive,0.609
UgzrPg-orbodLiXTgv54AaABAg,Victor Savo,1 month ago,1510962155854,Let's keep an open mind about homosexuality and gay asshole licking. Yay for gay marriage!,2,false,0,,,,,,,/Positive/,Positive,0.59
UgxQHQhQQdjk7jWVLk54AaABAg,manddray,1 month ago,1510962155856,It just seems ironic that they are trying to address sexism and he feels the need to correct her on air and yet she does not correct him,1,true,1,,,,,,,/Negative/,Negative,0.971
,,,,,,,,UgxQHQhQQdjk7jWVLk54AaABAg.8_1TMP0mRGe8_1XzhgFEnY,Secular Progressive,1 month ago,1510962157333,manddray Correct him on what?,0,/Negative/,Negative,0.744
Ugx6qrlt74eDR_WGZXN4AaABAg,manddray,1 month ago,1510962155860,He corrects her grammar but constantly uses the word- right,0,false,0,,,,,,,/Positive/,Positive,0.992
UgwO3umVquSZCiRG3t54AaABAg,Saddle Tramp,1 month ago,1510962155863,"This is OLD NEWS. This was a story in the national enquirer years ago. But John Travolta is definately gay, and probably a pedo.",1,false,0,,,,,,,/Positive/,Positive,0.977
UgwRLnEecknBuRpFxZF4AaABAg,Canner,1 month ago,1510962155866,Homosexuals are raping young boys.,1,true,3,,,,,,,/Positive/,Positive,0.996
,,,,,,,,UgwRLnEecknBuRpFxZF4AaABAg.8_1O9Vuukdo8_1PGPGTRBI,tintinesk5,1 month ago,1510962157399,Straight dudes raping young boys is just as bad.,1,/Neutral/,Neutral,0.354
,,,,,,,,UgwRLnEecknBuRpFxZF4AaABAg.8_1O9Vuukdo8_1VdukFHxh,AAron Thom,1 month ago,1510962157402,Canner And heterosexual men are raping young girls. What’s your point dummy???,1,/Negative/,Negative,0.695
,,,,,,,,UgwRLnEecknBuRpFxZF4AaABAg.8_1O9Vuukdo8_1ZzqsAOnk,DrgnFlys,1 month ago,1510962157404,"Mostly heterosexual males rape children, usually a family member or family friend.",3,/Negative/,Negative,0.824
UgwdKtsW72BZPYtJqLZ4AaABAg,Nicole L,1 month ago,1510962155869,"As a massage therapist I find it absolutely mind boggling that the therapist allowed his client ""show him"" ....  Not saying Travolta's behavior is right,  but if that's how the massage therapist sets his boundaries, that kind of stuff is going to end happening.",5,true,3,,,,,,,/Negative/,Negative,0.545
,,,,,,,,UgwdKtsW72BZPYtJqLZ4AaABAg.8_1M6g3DaS08_1PG0c_glq,Spirtual Anarchist,1 month ago,1510962157345,"I agree. It was a 21 year old man. Not some kid. Offcourse maybe he was scared loosing his job by óffending' a 'Hollywood star' But he have just said: 'No sir, i do not have time to go into the sauna with you'...'By the way, my girlfriend is waiting, i have to go..Goodbey'...( or whatever)",1,/Negative/,Negative,0.471
,,,,,,,,UgwdKtsW72BZPYtJqLZ4AaABAg.8_1M6g3DaS08_2fW5Q2Ekb,Tracey S.,1 month ago,1510962157349,+Nicole L That's what I thought. Correct me if I'm wrong but is it usual for a massage therapist to go unclothed (towel only) into a steam room with a client?  Shouldn't he have left when the massage was over? Just wondering.,0,/Negative/,Negative,0.648
,,,,,,,,UgwdKtsW72BZPYtJqLZ4AaABAg.8_1M6g3DaS08_3_kqTWCJK,Spirtual Anarchist,1 month ago,1510962157352,"Sounds like  the 'masseur ' smelled a potential settlement.Or Travolta must be very stupid. Even if the kid was so naive to go into the shower with him, any hetero guy would skip the shower and run to his car to shower at home with bleach, after such gory remarks. Sounds like he kept hanging around, waiting for something to happen. and then went straight to the cops while calling a lawyer. I don't care about Travolta,,or what gay men do or don't. The problem is if to many people' cry wolf', it's more difficult for real victims to dare to go to the police.",0,/Negative/,Negative,0.99
UgwrOPxJlsE8jjuEer54AaABAg,Robert Baylis,1 month ago,1510962155873,"Not surprising, he's a wierdo from a cult. That cult has all kinds of degenerates. Look up a video of Tom Cruise, he says the craziest stuff.",2,false,0,,,,,,,/Negative/,Negative,0.658
UgwSNN7nEnFwpJs8oLp4AaABAg,ladyJAtheist,1 month ago,1510962155876,"two guys in a steam room or sauna together, wearing nothing but towels, and the client wants to ""show you how I like a massage""... what do you think is going to go on? Seriously... as a masseur how stupid and clueless can you be?",8,true,4,,,,,,,/Negative/,Negative,0.926
,,,,,,,,UgwSNN7nEnFwpJs8oLp4AaABAg.8_1FTFwfH4j8_1KaEj2dm2,William Western,1 month ago,1510962157366,"I agree. If he was so bothered, why didn't he just leave.
I highly doubt that this was the first time this ever happened to him.
And a massage is hands on, so yes, maybe the client infers the wrong thing, so you either leave or make it clear you're not comfortable.",4,/Negative/,Negative,0.504
,,,,,,,,UgwSNN7nEnFwpJs8oLp4AaABAg.8_1FTFwfH4j8_1T3OHCAgY,ladyJAtheist,1 month ago,1510962157368,exactly.,3,/Negative/,Negative,0.484
,,,,,,,,UgwSNN7nEnFwpJs8oLp4AaABAg.8_1FTFwfH4j8_1eho6eDs1,Max Mustermann,1 month ago,1510962157371,ladyJAtheist You name it.,1,/Positive/,Positive,0.557
,,,,,,,,UgwSNN7nEnFwpJs8oLp4AaABAg.8_1FTFwfH4j8_1gj0jlG35,Twilight Gardens presentations,1 month ago,1510962157373,"i thought we knew he was closeted and pushy...the dude was grown and travolta jacked him off then it got ""weird"" but not bad or anything.  these things happen in your twenties- its how you learn your come ons.  you just gotta say no clearly.",0,/Positive/,Positive,0.52
Ugw973g1VoeSg_ZyLgx4AaABAg,TruthGate Games,1 month ago,1510962155879,Well would you look at that... A guy using wealth and power to get sex...,6,false,0,,,,,,,/Positive/,Positive,0.586
Ugy9aFBSz3VvtQIpE094AaABAg,ahouyearno,1 month ago,1510962155882,Does explain his dancing skills though.,9,true,1,,,,,,,/Negative/,Negative,0.941
,,,,,,,,Ugy9aFBSz3VvtQIpE094AaABAg.8_11YPGswh48_2-ie9qeXA,TheBLACKKING25,1 month ago,1510962157390,ahouyearno lmfao,0,/Neutral/,Neutral,0.994
Ugzq-pwU3_pzKntlcix4AaABAg,Openintelligence1,1 month ago,1510962155885,I had a massage like that. It was great. What's the news?,0,false,0,,,,,,,/Positive/,Positive,0.992
UgwMBGz89sEeos1-YmF4AaABAg,circularisnotthis,1 month ago,1510962155888,This story is utter bullshit. I cannot believe TYT is running this. There was no evidence to proceed further so the cases were dropped. WHY ARE TYT brining this up. A police report is a not trial. Tsk tsk. Such shitty sensationalist journalism I’ve come to expect from Fox News. PLEASE stop TYT you’re debasing yourself with these silly idiotic slurs.,4,true,2,,,,,,,/Negative/,Negative,0.988
,,,,,,,,UgwMBGz89sEeos1-YmF4AaABAg.8_0xOI_2X-k8_18eT1hCZY,SLYKM,1 month ago,1510962157382,"circularisnotthis somebody didnt wstch the whole video lol
Tell me though, how does one prove this without cameras?",2,/Negative/,Negative,0.988
,,,,,,,,UgwMBGz89sEeos1-YmF4AaABAg.8_0xOI_2X-k8_2g3R3G4-t,Tracey S.,1 month ago,1510962157384,"+circularisnotthis How do you know the cops didn't say; ""Well you shouldn't have been alone with him. Well you shouldn't have gotten undressed and gone into the steam room with him. Well you shouldn't have let him 'show you how I like it'."" You know the old ""this was your own fault"" that we know has happened, as Cenk says, 'a million times before'.",0,/Negative/,Negative,0.764
Ugz0TLMQHrkcqjQe10t4AaABAg,Darya Ionesco,1 month ago,1510962158219,This is old news.,3,false,0,,,,,,,/Negative/,Negative,0.982
Ugw4HPjvGcdnm8fEhjx4AaABAg,KЯYPTIC,1 month ago,1510962158222,Accusations and allegations STOP REPORTING THIS SHIT TILL PROVEN!!!!!!!!!,3,true,1,,,,,,,/Negative/,Negative,0.756
,,,,,,,,Ugw4HPjvGcdnm8fEhjx4AaABAg.8_0qF61Enbn8_18oM9BfGC,SLYKM,1 month ago,1510962158734,Why shouldnt it be reported on if tyt mentions that they are allegations?,1,/Negative/,Negative,0.994
UgwdiJA1cCthFUwsa_J4AaABAg,Catalina Simmons,1 month ago,1510962158228,Sleazy chain of motels too. Travolta has been gay forever. Yuk. Asshole licking. John Revolting,2,true,2,,,,,,,/Positive/,Positive,0.529
,,,,,,,,UgwdiJA1cCthFUwsa_J4AaABAg.8_0q3xojVG78_1F1iHVaSu,ladyJAtheist,1 month ago,1510962158618,don't like it? don't do it.,0,/Negative/,Negative,0.998
,,,,,,,,UgwdiJA1cCthFUwsa_J4AaABAg.8_0q3xojVG78_1HGn3wDgu,cure prirism,1 month ago,1510962158620,"I honestly don't understand why people always seem to try and make particular things like this sound bad when what's actually wrong is the fact that there were no concent, people who lick each other asses with concent are doing nothing revolting, it's pretty common actually in sex, soecially gay sex.",0,/Negative/,Negative,0.977
UgzsEiB6ZjXgvI0NaIN4AaABAg,Dutch landishRDM,1 month ago,1510962158232,"I’m sure this story will be having a happy end, the cult of Scientology will cover op for him.",5,false,0,,,,,,,/Positive/,Positive,0.912
UgyAJvJ-KTE3NEx4Tgd4AaABAg,Andreas Bauer,1 month ago,1510962158235,"""This is extremely difficult to watch/hear/read"" - Ana about anything, always",4,false,0,,,,,,,/Negative/,Negative,0.852
Ugz_2pB5jg7cpGYpS9t4AaABAg,Fukai Kokoro,1 month ago,1510962158238,"I am starting to wonder if people just are having bad communication. And are misunderstanding physical  cues and other kinds of non verbal  cues. Not necessarily with this case, but a lot of the cases seem a bit over dramatized.  Try being drugged for 12 hours with ketamine and having moments of consciousness being paralyzed and then going unconscious again, having a quick moment of consciousness in a shower, having your attacker cleaning out your orifices so he can then do as he pleases without getting too dirty ,  . And knowing the police wouldn't help because they had something against you. And after the attack having people mock you by calling you ""Special K"" ....When I was 12 and broke curfew that was the day I knew the police had something against me and me alone. He let my friend go home and her mom was not even home,mind you my home was a block away, he searched me, put his hand allover me , handcuffed me and drove me home and made a huge scene.  And had numerous other encounters where they searched me out and targeted me, Like my boyfriend 21 when I was 14 had been abusing me in public like choking me,the police did not target him, the over aged guy beating and choking  a minor. They targeted me. So many situations. Like they had a vendetta against me. So when I actually need their help and a serious crime was committed against me I could  do nothing. Yet when this one girl in town claims her boyfriend gave her Tylonal PM instead of normal Tylonal he must have intended to rape her,that went to national news. But my case? I couldnt even talk to the  police, because I knew they did not care about me, in fact I got the feeling if someone was hurting me right in front of them id be the one who gets charged. Knowing you cant seek help from police makes it so much harder. Makes the victim feel even more out of control.Makes them feel guilty because they couldnt get that rapist off the streets because the police where untrustworthy and would do nothing.",3,false,0,,,,,,,/Negative/,Negative,0.945
Ugwkvww4dCzQvuFw-ld4AaABAg,kamelryke31,1 month ago,1510962158240,"We say masseur for men, and masseuse for women, at least in France ! :)))",2,true,3,,,,,,,/Positive/,Positive,0.916
,,,,,,,,Ugwkvww4dCzQvuFw-ld4AaABAg.8_0fjyDHS568_0qAWCWw9o,Dutch landishRDM,1 month ago,1510962158643,kamelryke31 so do we in the Netherlands 😉,1,/Neutral/,Neutral,0.617
,,,,,,,,Ugwkvww4dCzQvuFw-ld4AaABAg.8_0fjyDHS568_0suBb6pWV,Schiffelers,1 month ago,1510962158645,"Kamelryke31, but why? Why is there a gender distinction? Men not wanting to be touched by men, or them wanting to be touched by men. Is this why? Happy endings?! Thai lady boys? 
Anna did not say something wrong in definition after she said; he after masseuse, the gender was established. 
Now I would not make a big deal out of it. But these gender bases differences in naming the same profession is partly sexist. Why is gay an insult to straight men? Because Femininity makes them lesser males!? And a stereotypical gay is effeminate. Sexist. 
Why did you not mention the word originates from France? 
Like the word prostitute. We all know the Moulin Rouge. French kiss, French seks, the language of love. 
French love to love life with their mouth, wines and cheeses etc.
This what I am saying could be offensive to you. 
But when I say the French are chauvinistic it probably is. 
The story about Quasimodo and Esmeralda and the Notre Dame, was about freedom of speech? Oui? 
About the invention of the press, and freedom of speech. Enlightenment of the people. Educating?
Jeanne d'Arc, savior virgin of France ending as a Witch on the burning pile after the males were done with her.  
Why the gender difference in naming the profession?!",0,/Negative/,Negative,0.84
,,,,,,,,Ugwkvww4dCzQvuFw-ld4AaABAg.8_0fjyDHS568_KR-PqPyVt,Dennis Menace,3 weeks ago,1511739758647,in the UK we say tart or gigolo,0,/Neutral/,Neutral,0.982
UgzBNudWlwFqrUX8LOJ4AaABAg,tom black,1 month ago,1510962158244,“I didn’t know that until I read this story” ...lol,1,false,0,,,,,,,/Negative/,Negative,0.957
UgwTO2_FfaAajBHFNsB4AaABAg,pforce9,1 month ago,1510962158247,"Whoa!, John Travolta is a swish? Whooda thought?",2,true,4,,,,,,,/Positive/,Positive,0.99
,,,,,,,,UgwTO2_FfaAajBHFNsB4AaABAg.8_0fQeEMMiZ8_15kcbigtm,llibeel,1 month ago,1510962158660,Everyone. Where have you been?,3,/Neutral/,Neutral,0.955
,,,,,,,,UgwTO2_FfaAajBHFNsB4AaABAg.8_0fQeEMMiZ8_1_luJosJX,pforce9,1 month ago,1510962158662,"llibeel  I do not contemplate these things. My first wake-up was when I learned that Rock Hudson was gay.  I had just seen him in person in the play, ""Annie"" in Philadelphia and when I heard the news, I remembered him 
rocking back and forth and said to myself; ""Oh yeah!""",0,/Positive/,Positive,0.693
,,,,,,,,UgwTO2_FfaAajBHFNsB4AaABAg.8_0fQeEMMiZ8_1fLvUuiRW,Max Mustermann,1 month ago,1510962158664,"pforce9 Wake up, there are millions of gays out there. But what's the point? It's no crime, to be homo. Well, it was a crime in nazi germany, while countless nazis were gay, gnahaha.",0,/Negative/,Negative,0.951
,,,,,,,,UgwTO2_FfaAajBHFNsB4AaABAg.8_0fQeEMMiZ8_1gbCXxW5K,pforce9,1 month ago,1510962158666,Max Mustermann I just never think about it. I take everyone at face value.,0,/Positive/,Positive,0.775
UgzDk9y_CyC3U2vNfbh4AaABAg,Alejandro Rivera,1 month ago,1510962158250,well he likes dancing to the the Beegees so..,5,false,0,,,,,,,/Positive/,Positive,0.998
UgyIXm4sWC7eYLb2uKF4AaABAg,JM1993951,1 month ago,1510962158274,"I totally buy Kevin Spacey, but John Trovolta? Nope, didn't see this coming? wink",0,false,0,,,,,,,/Negative/,Negative,0.92
Ugw7pfZoMW5wQ9IJr2p4AaABAg,Dobbie Walker,1 month ago,1510962158278,"Just legalize prostitution with safeguards and benefits (such as for retirement) for workers as e.g. European countries have done. In Germany, for example, you decide what type of a massage you want (erotic or just a plain back rub) beforehand and then go to the corresponding place- there's no need to do anything illegal or make harrassing and degrading propositions to people.",9,true,1,,,,,,,/Neutral/,Neutral,0.391
,,,,,,,,Ugw7pfZoMW5wQ9IJr2p4AaABAg.8_0W--jY19m8_1X0jAZ01z,Chelsea Tabor,1 month ago,1510962158685,"Dobbie Walker Australia has regulated brothels, we need that here",1,/Neutral/,Neutral,0.805
UgxKAJexuPYHndzZRYd4AaABAg,lucygirl33,1 month ago,1510962158282,Old news,2,false,0,,,,,,,/Neutral/,Neutral,0.959
UgzCe7tzGWd9aRsdVQF4AaABAg,Fin Wycherley,1 month ago,1510962158285,"Even in Scotland, we knew Travolta was gay. Rumours travel far :)))",4,true,3,,,,,,,/Negative/,Negative,0.902
,,,,,,,,UgzCe7tzGWd9aRsdVQF4AaABAg.8_0V8gE16M28_1zzVUFL9j,SainterSan,1 month ago,1510962158675,"Fin, what does it matter? The more comments I read the more obvious it is how pretentious the ""progressives"" are at being open and tolerant. Still to this day homosexuals are referred to with an ooooh and a wink and nod. Do you get what I'm saying? If it doesn't matter then why be surprised.",0,/Negative/,Negative,0.471
,,,,,,,,UgzCe7tzGWd9aRsdVQF4AaABAg.8_0V8gE16M28_2h9hcxp-v,Mira Alén,1 month ago,1510962158677,SainterSan im not totally sure what u mean but the host said if u live in cali u knew this. But its known all around the world.,0,/Positive/,Positive,0.404
,,,,,,,,UgzCe7tzGWd9aRsdVQF4AaABAg.8_0V8gE16M28_KR7eENeZR,Dennis Menace,3 weeks ago,1511739758679,that's cause you all wear skirts,0,/Positive/,Positive,0.939
UgxZAJcVMnOU5ynaFzx4AaABAg,dung tran,1 month ago,1510962158288,Ana never believes male sexual victims. Such a shame...,2,true,4,,,,,,,/Negative/,Negative,0.998
,,,,,,,,UgxZAJcVMnOU5ynaFzx4AaABAg.8_0V5bPDV1I8_19JyX5V9r,SLYKM,1 month ago,1510962159012,"dung tran this is false, she defends men in these cases more than others, especially in older videos",0,/Positive/,Positive,0.994
,,,,,,,,UgxZAJcVMnOU5ynaFzx4AaABAg.8_0V5bPDV1I8_1BqUs5cES,dung tran,1 month ago,1510962159014,"SLYKM like 6 years ago. Trump used to be a democrat, people change and Ana has changed for the worse.",0,/Negative/,Negative,0.953
,,,,,,,,UgxZAJcVMnOU5ynaFzx4AaABAg.8_0V5bPDV1I8_1Jvvw5OAw,SLYKM,1 month ago,1510962159016,"dung tran there's a difference between flip flopping for political gain (Trump) and changing minds. I said especially in the past, because Cenk took male issues less seriously back then, but she would argue on male victim's behalf. But now Cenk changed and is a little more sympathetic. Ana's stance is the same.",0,/Negative/,Negative,0.508
,,,,,,,,UgxZAJcVMnOU5ynaFzx4AaABAg.8_0V5bPDV1I8_2jsfiXunH,dung tran,1 month ago,1510962159018,SLYKM Ana's stance is not the same. You're just lying now.,0,/Negative/,Negative,0.986
Ugz4oLj8Uix3VGQHIWx4AaABAg,Federico Wannesson,1 month ago,1510962158292,"I resent that every time a man comes forward with a sexual harassment experience, people are quick to be dubious. ""Just because someone made an accusation, doesn't mean it happened."" Would you say the same thing if it were a woman making them? Almost certainly you'd be more cautious to say that.",4,true,2,,,,,,,/Negative/,Negative,0.506
,,,,,,,,Ugz4oLj8Uix3VGQHIWx4AaABAg.8_0UvlTIQwI8_19cyGjfiT,SLYKM,1 month ago,1510962158607,"Federico Wannesson nah I see this with female victims more often than with male ones. Male victims instead get to enjoy ""lucky guy,"" if the rapist is female, or rape jokes if the rapist is male. I mean, yea, not any better.

I suspext thst the ""its just an accusation"" are said by people that don't want to believe that someone they liked can do such a thing.",1,/Negative/,Negative,0.977
,,,,,,,,Ugz4oLj8Uix3VGQHIWx4AaABAg.8_0UvlTIQwI8_1OytKgjyT,Dina,1 month ago,1510962158609,"Personally, I think it’s more for fear of Scientology than anything else. Not going to lie. Plus, nobody could recall why one of the civil suits got dropped? And nobody thinks that has anything to do with Scientology whatsoever?! Lol",0,/Negative/,Negative,0.959
Ugxu003M41mzu5kmtgx4AaABAg,Amatullah Abu Bakr,1 month ago,1510962158296,Yea he was researching for a movie lol,0,true,1,,,,,,,/Positive/,Positive,0.885
,,,,,,,,Ugxu003M41mzu5kmtgx4AaABAg.8_0Txl5DHv98_KRHA0JDtF,Dennis Menace,3 weeks ago,1511739758597,"faf the dude out of The Who said that and got away with it, fukcing bull shit",0,/Negative/,Negative,0.99
UgxI-cqs2fA7EAUUmtN4AaABAg,Mermaid Wise,1 month ago,1510962158300,This came out years ago.,0,false,0,,,,,,,/Positive/,Positive,0.982
UgzzU_vxaKx_CBDsHXx4AaABAg,Todd Mastrianna,1 month ago,1510962158303,"Nothing wrong with being gay, but if you are ok with that scientology ""gay navy"" uniforms, you too are in fact gay. No straight guy is ok with that look. Period.",3,false,0,,,,,,,/Negative/,Negative,0.98
Ugx7HDzlA1FqHDznBN14AaABAg,E.B Jombo,1 month ago,1510962158306,I'm surprised more hasn't come out on Travolta tobe honest!,6,false,0,,,,,,,/Positive/,Positive,0.979
UgxbYeEwsU7zVq_df394AaABAg,Bob Mann,1 month ago,1510962159661,Another flaming aids case,0,false,0,,,,,,,/Negative/,Negative,0.973
UgyX_qKzni67D_7NAzp4AaABAg,rapprelevant3313,1 month ago,1510962159663,Does this only happen in Hollywood ? Do you guys think this happens in All forms of entertainment like sports and in music ?,1,true,3,,,,,,,/Neutral/,Neutral,0.785
,,,,,,,,UgyX_qKzni67D_7NAzp4AaABAg.8_0MNE0stQy8_0PWVhOJ_P,Hans Maulwurf,1 month ago,1510962160128,"Of course lmao. Everywhere, where you have a closed community and power dynamics, just look at the catholic church.",2,/Negative/,Negative,0.416
,,,,,,,,UgyX_qKzni67D_7NAzp4AaABAg.8_0MNE0stQy8_19rD4nFYl,SLYKM,1 month ago,1510962160131,Yes :/,0,/Negative/,Negative,0.998
,,,,,,,,UgyX_qKzni67D_7NAzp4AaABAg.8_0MNE0stQy8_KRMTWjwKI,Dennis Menace,3 weeks ago,1511739760133,yes the fukcing lot,0,/Positive/,Positive,0.996
UgxwW-zYXSzxngSLoBp4AaABAg,Kane Marko,1 month ago,1510962159667,"I'm not condoning anyone's wrongdoings or alleged crimes but just a day or two ago you guys were judging Roy Moore as a ""child molester"" (even though his accusers are teenagers = Hebephilia/Ephebophilia) & you judge Moore guilty without a trial or all the full facts in your possession but a Hollywood elite gets accusations against him & you say ""accusations don't mean that it really happened...""?? Double standard much?? That is quite hypocritical I'd say.",2,true,1,,,,,,,/Negative/,Negative,0.672
,,,,,,,,UgxwW-zYXSzxngSLoBp4AaABAg.8_0LeJRK1ZY8_2-X2YGTj2,SainterSan,1 month ago,1510962160064,"Roy Albert, well said, you're spot on. With Roy Moore he's a political target and that suits them, with Travolta it's ""oh, he's the guy in Pulp Fiction"" and that makes it ok. Hypocrites.",0,/Positive/,Positive,0.896
Ugyyjt5RbH7TQfrgidd4AaABAg,[NQZATR],1 month ago,1510962159671,This isn't anything new.,0,false,0,,,,,,,/Negative/,Negative,0.998
UgxhuHxKLYj1mY4_lTF4AaABAg,Larry Stran,1 month ago,1510962159674,"ANOTHER HOLLYWOOD PEDO LIKE HARVEY WIENSTIEN BITES THE DUSTA  JOHN TRAVOLTA,",0,true,1,,,,,,,/Positive/,Positive,0.619
,,,,,,,,UgxhuHxKLYj1mY4_lTF4AaABAg.8_0HKXkMKl_8_0QLjcWPbd,Mongrelgrey,1 month ago,1510962160058,what pedo? Are you high? 21 -year old is a child?  No. Anything 18 and over is legally an adult.,2,/Negative/,Negative,0.703
UgzCbyYHprj_QbiBJ414AaABAg,Kris Ballard,1 month ago,1510962159677,"I could care less whether or not John Travolta is gay. However, if he is sexually harassing people, then he needs to be held accountable for his actions.",5,false,0,,,,,,,/Negative/,Negative,0.955
UgwlD2sYpUMBHJ01CAR4AaABAg,jagfruit 1,1 month ago,1510962159680,"I'm not excusing Travolta's behavior to a massage therapist. It is ABSOLUTELY inappropriate. In many states it is not only illegal to date your client as a massage therapist but it is illegal up to two years after they are no longer your client. THAT SAID, it is INCREDIBLY inappropriate  for the massage therapist to go into the steam room and shower with him and to even allow him the opportunity to think he could do anything further than receive a massage.",7,false,0,,,,,,,/Negative/,Negative,0.855
UgwI2tC6zEQQ3W2QRAh4AaABAg,schlooonginator,1 month ago,1510962159683,Finally got a sound bite of Ana talking dirty!,3,true,1,,,,,,,/Negative/,Negative,0.779
,,,,,,,,UgwI2tC6zEQQ3W2QRAh4AaABAg.8_0DjYL0hy48_0SjIl0XID,Todd Mastrianna,1 month ago,1510962160119,SOUNDBOARD PLEASE!!!!!,0,/Negative/,Negative,0.779
UgzzBP7uW5MFbZuTho14AaABAg,The Devil's Advocate,1 month ago,1510962159687,Not that there is anything wrong with that,0,true,1,,,,,,,/Negative/,Negative,0.998
,,,,,,,,UgzzBP7uW5MFbZuTho14AaABAg.8_0CXAEGnhV8_0qVHA-gI-,Catalina Simmons,1 month ago,1510962160070,The Devil's Advocate  are there Any straight men left in US. Depressing.,0,/Neutral/,Neutral,0.941
Ugyq1D8InKR44du3k2R4AaABAg,Remy Saenz,1 month ago,1510962159711,Old news,0,false,0,,,,,,,/Neutral/,Neutral,0.959
UgxZ5c8s5gAahXjEQQ54AaABAg,sevengance,1 month ago,1510962159715,I have a story about travolta but I’m scared to tell it.,1,true,3,,,,,,,/Positive/,Positive,0.826
,,,,,,,,UgxZ5c8s5gAahXjEQQ54AaABAg.8_0C5mErbDo8_0MHBEEOE_,Galileo Galilei,1 month ago,1510962160109,stfu,0,/Negative/,Negative,0.988
,,,,,,,,UgxZ5c8s5gAahXjEQQ54AaABAg.8_0C5mErbDo8_0PaO0Kzpg,Alexandra fa,1 month ago,1510962160111,"sevengance please, Dont tell me",0,/Negative/,Negative,0.975
,,,,,,,,UgxZ5c8s5gAahXjEQQ54AaABAg.8_0C5mErbDo8_KRYhBv6GL,Dennis Menace,3 weeks ago,1511739760114,don't fukcing lie why else is it only YOU that has just brought it up,1,/Negative/,Negative,0.996
UgyK7i_mAKxPA-aMbTN4AaABAg,jcwilder86,1 month ago,1510962159719,She should go to her plastic surgeon and demand A refund,0,false,0,,,,,,,/Negative/,Negative,0.811
UgxaFuKhtbt4tXgdie94AaABAg,jcwilder86,1 month ago,1510962159722,Ana awful nose job,1,true,1,,,,,,,/Negative/,Negative,0.998
,,,,,,,,UgxaFuKhtbt4tXgdie94AaABAg.8_0BkvmW5PZ8_KRlUfEwSM,Dennis Menace,3 weeks ago,1511739760094,"well you are an unpleasant, unhappy with there own live kind of person
aren't you?",1,/Negative/,Negative,0.93
Ugwuz6j-dlDPItr7jhN4AaABAg,A Teaching Moment Learn,1 month ago,1510962159726,it was made public because I remember it,2,true,1,,,,,,,/Positive/,Positive,0.955
,,,,,,,,Ugwuz6j-dlDPItr7jhN4AaABAg.8_0BA05oOFj8_0PrOV14Mu,Alexandra fa,1 month ago,1510962160075,A Teaching Moment Learn unlike Jeff Sessions: you do recall!,0,/Positive/,Positive,0.965
UgyWgHHN-XwrLp5Lvgx4AaABAg,Noah Namey,1 month ago,1510962159729,"""Hey... ya wanna see my sweathog?""",3,false,0,,,,,,,/Neutral/,Neutral,0.689
Ugy8yBln8FPO2ubH4BZ4AaABAg,Nicholas Kyriakides,1 month ago,1510962159732,This story is 5 years old... search the other videos about travolta...,1,false,0,,,,,,,/Positive/,Positive,0.883
Ugxeme4JXAIKnGzOeTt4AaABAg,Missy Curry,1 month ago,1510962159735,"I'm filing this under Not Shocking. Travolta has been increasingly creepy over the past decade. Also, a LaQuinta?",2,false,0,,,,,,,/Negative/,Negative,0.99
Ugyf-DiWCjVg7gCwpyB4AaABAg,EvE(itsnotthatserious),1 month ago,1510962159738,I bet you the church of Scientology covered it up. And I'm surprised they've stuck with him cuz they are supposed to be kinda anti gay,1,true,1,,,,,,,/Negative/,Negative,0.998
